哪吒肉身重塑，但是材料不够？幸亏有仙家法宝 来帮忙终于能和大家一起风火开年，大闹新春啦～#哪吒肉肉肉回来了##吒实长肉选瑞哺恩##哪吒祝你要强事事牛##蒙牛携手春节大片哪吒2# 蒙牛瑞哺恩的微博视频 ,8,积极
🎉森罗万象祝贺《哪吒之魔童闹海》进入全球票房榜TOP10！是中国首部！也是亚洲首部！ 🔥期待哪吒一路驰骋，在票房榜上继续拼杀！步步生莲！ 🎉哪吒正版授权文具系列即将接力亮相！敬请期待！  #哪吒2全球影史前10##哪吒之魔童闹海##哪吒之魔童闹海电影官方周边##哪吒2晒各种Number1# ...全文,3,积极
#哪吒2全球影史票房第10#进入决赛圈了！加油冲！#动画电影##哪吒2全球影史票房榜##哪吒2全球动画电影票房榜前六#  ,1,积极
#哪吒2全球影史票房第10#全球影响力到底怎么样我是不知道，小学校园里这帮孩子的流行语可都跟着哪吒版本走了“写不写作业我自己说了算” ,4,消极
#哪吒2全球影史票房第10# 按国人一惯的风格，前5也不是没可能 ,1,积极
儿时伙伴 两小无猜[哪吒嘟嘴] ,6,积极
从另一个角度来讲，双方超话充斥着对方的点点滴滴也是另一种甜[哪吒使坏][哪吒使坏] ,5,积极
星航 xh#星航#   妈耶笑死了，刚在ks上看到有人因为竞速九不出退⭕️了？！！一个人喜欢这个动画片 就因为不出 就退圈 因为没热度了？就都进哪吒圈了 等着竞速一出又就回来了 还怪官方不更新这都听你们的那还了得  #车神星航##星航的雯# ...全文,0,积极
#哪吒2全球影史票房第10#前天去看电影 还有湾湾人过来看的 看哪吒笑得很大声也哇的很大声 ,9,积极
阿凡达vs 哪吒2  《阿凡达》为了票房冠军，居然4次重映？  被超就重映，这操作真的秀！ 几十块一张电影票，就为了保住冠军宝座？  这波操作真的有点凡尔赛了！ 《哪吒2》非常好看！当年我也很喜欢《阿凡达》！  但现在这无限重映，真的让人无语！吒儿加油！ 你们觉得哪吒2会超越阿凡达吗？ ...全文,1,消极
#哪吒2全球影史票房第10#为了支持哪吒2 必须要去看啊！ ,1,积极
光线传媒这波主力玩的六，高位天量跳水，后市如何？日内最大亏损最高39.85%，成交223.5亿，不少资金追高被埋，谁在砸盘？主力为主，短期位置高位，巨量，后续突破难度较大，支撑留意五日均线，不破暂看高位波段高抛低吸为主，想参与打压五日不破再考虑；消息上，主投的《哪吒之魔童闹海》预估票房160亿 ...全文,2,消极
#哪吒2全球影史票房第10#厉害厉害！！！恭喜啊 ,1,积极
又下班惹，吃个麦麦去看哪吒 ,7,积极
哪吒之魔童闹海  萌萌🥺 ,3,积极
哎哟我草还好魔童1我初二魔童2我大薛一篇作文都不用写 ,3,积极
外国网友评哪吒2破百亿票房，进入全球影史前十。  …#哪吒2全球影史票房第10# 张逸轩同学的微博视频 ,1,积极
#哪吒2全球影史票房第10#太棒了吒儿 好厉害呀 ,1,积极
#哪吒2全球影史票房第10# 哇塞可以可以呀，这小哪吒可太好看了 ,1,积极
哪吒之魔童闹海 收饼饼的任何东西 ,3,积极
